battery,camera,memory,price,processor,screen,title,warranty
4500 mAh Lithium-ion Battery,12MP + 12MP + 12MP | 32MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹37,999",Exynos 9810 Processor,17.02 cm (6.7 inch) Full HD+ Display,"Samsung Galaxy Note10 Lite (Aura Glow, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4500 mAh Lithium Ion Battery,64MP + 5MP + 8MP | 32MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"₹28,000",Qualcomm SM6150 Processor,17.02 cm (6.7 inch) Full HD+ Display,"Samsung Galaxy A70s (Prism Crush Red, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
3700 mAh Battery,48MP + 8MP | 48MP(F2.0) + 8MP(Ultra Wide/F2.2) + TOF (Time-of-Flight) 3D-Depth Rotating Camera,8 GB RAM | 128 GB ROM,"₹41,999",Qualcomm Snapdragon 730G Octa-Core Processor,17.02 cm (6.7 inch) Full HD+ Display,"Samsung Galaxy A80 (Phantom Black, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4500 mAh Lithium-ion Battery,48MP + 12MP + 5MP | 32MP Front Camera,8 GB RAM | 512 GB ROM | Expandable Upto 1 TB,"₹47,999",Qualcomm Snapdragon 855 (SM8150) Processor,17.02 cm (6.7 inch) Full HD+ Display,"Samsung Galaxy S10 Lite (Prism White, 512 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
1 Year Manufacturer Warranty,800 mAh Battery,NA ROM,"₹1,662",,3.81 cm (1.5 inch) VGA Display,Samsung Guru FM Plus,
4500 mAh Lithium-ion Battery,64 MP + 12 MP +12 MP + VGA Depth Camera | 10MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"₹77,999",Exynos 990 Processor,17.02 cm (6.7 inch) Quad HD+ Display,"Samsung Galaxy S20+ (Cloud Blue, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
1 Year Manufacturer Warranty,800 mAh Battery,NA ROM,"₹1,950",,5.08 cm (2 inch) QVGA Display,Samsung Guru Music 2,
3000 mAh Battery,16MP Rear Camera | 16MP Front Camera,4 GB RAM | 64 GB ROM,"₹17,999",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,14.22 cm (5.6 inch) Display,"Samsung Galaxy A6 (Gold, 64 GB)",
800 mAh Li-Ion Battery,0MP Front Camera,NA ROM | Expandable Upto 16 GB,"₹1,878",NA 0 Single Core 208MHz Processor,5.08 cm (2 inch) QVGA Display,Samsung Guru Music 2,1 Year Manufacturer Warranty
4000 mAh Lithium-ion Battery,13MP + 2MP | 8MP Front Camera,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"₹8,980",MediaTek MT6762 Processor,15.75 cm (6.2 inch) HD+ Display,"Samsung Galaxy A10s (Black, 32 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
